,OBJECTID,ID_ACCIDENT,DATE_,GROUPE_ACCIDENT,TYPE,CAUSE,COMMUNE,CONDITIONS_LUMINEUSES,CONDITIONS_METEO,CONSEQUENCES,COOR_X,COOR_Y,ETAT_ROUTE,GENRE_ROUTE,HEURE,JOUR,NB_ENFANTS_IMPLIQUES,NB_ENFANTS_ECOLE,NB_BLESSES_LEGERS,NB_BLESSES_GRAVES,NB_TUES,NB_PIETONS,NB_BICYCLETTES,NB_VAE_25,NB_VAE_45,NB_CYCLOMOTEURS,NB_MOTOS_50,NB_MOTOS,NB_VOITURES_TOURISME,NB_VOITURES_LIVRAISON,NB_CAMIONS,NB_BUS,NB_TRAM,NB_TRAINS,NB_SENIORS,NB_TC,REF_GROUPE_CAUSE,TOTAL_PERSONNES,ANNEE,E,N,LATITUDE,LONGITUDE
33147,48037,220619021,20220619,Dérapage ou perte de maîtrise,Collision avec un obstacle sur la chaussée,Etat de la personne - Influence de l'alcool,Collonge-Bellerive,Nuit,Beau temps,Avec blessés légers,2504485.001,1121829.897,Route sèche,Route principale,60000.0,Dimanche,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,,,2022,2504485.0,1121829.9,6.200271775111113,46.24110731956309
33148,48038,220926295,20220926,Dérapage ou perte de maîtrise,Collision avec un obstacle sur la chaussée,Inattention et distraction - Manque d'attention momentané,Genève,Jour,Beau temps,Avec dommages matériels,2500403.871,1117292.563,Route sèche,Route secondaire,120000.0,Lundi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,,,2022,2500403.87,1117292.56,6.1483371544862315,46.199704044500365
33149,48039,221230121,20221230,Dérapage ou perte de maîtrise,Collision avec un obstacle sur la chaussée,Etat de la personne - Influence de l'alcool,Bellevue,Nuit,Pluie,Avec dommages matériels,2500238.252,1122939.738,Route mouillée,Route principale,190000.0,Vendredi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,,,2022,2500238.25,1122939.74,6.144983883506438,46.25047239023043
33150,48040,221029028,20221018,Dérapage ou perte de maîtrise,Collision avec un obstacle sur la chaussée,Comportement du piéton / du conducteur d'EAV - Autre attitude fautive du piéton ou du conducteur d'EAV,Versoix,Nuit,Beau temps,Avec blessés graves,2501305.251,1126475.854,Route sèche,Route secondaire,230000.0,Mardi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2501305.25,1126475.85,6.1580682893129115,46.282435292839025
33151,48041,220904074,20220904,Dérapage ou perte de maîtrise,Collision avec un obstacle hors de la chaussée,Inattention et distraction - Manque d'attention momentané,Veyrier,Jour,Beau temps,Avec blessés graves,2501399.78,1113271.294,Route sèche,Route secondaire,160000.0,Dimanche,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,,,2022,2501399.78,1113271.29,6.1620861232759445,46.16368196455691
33152,48042,221129133,20221129,Accident par tamponnement,Collision avec un véhicule en marche,Inattention et distraction - Manque d'attention momentané,Plan-les-Ouates,Jour,Pluie,Avec blessés graves,2498109.575,1113935.994,Route mouillée,Route principale,70000.0,Mardi,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,,,2022,2498109.57,1113935.99,6.1193513127358985,46.16917018214913
33153,48043,220630208,20220630,Accident impliquant des piétons,Piéton touché par un véhicule obliquant à gauche,Priorité - Ne pas accorder la priorité à un passage pour piétons,Genève,Jour,Beau temps,Avec blessés légers,2501365.105,1117688.943,Route sèche,Autre,120000.0,Jeudi,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,,,2022,2501365.11,1117688.94,6.1607044419297186,46.20341096759289
33154,48044,221010405,20221010,Dérapage ou perte de maîtrise,Collision avec un obstacle hors de la chaussée,"Vitesse - Inadaptée au tracé de la route (virage serré, proximité d'une intersection, etc.)",Jussy,Jour,Beau temps,Avec blessés graves,2510146.732,1121364.36,Route sèche,Route principale,170000.0,Lundi,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,,,2022,2510146.73,1121364.36,6.273755996390943,46.23770118297985
33155,48296,220822097,20220820,Dérapage ou perte de maîtrise,Collision avec un obstacle hors de la chaussée,"Vitesse - Inadaptée au tracé de la route (virage serré, proximité d'une intersection, etc.)",Satigny,Nuit,Beau temps,Avec dommages matériels,2489010.799,1119458.29,Route sèche,Route secondaire,220000.0,Samedi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,,,2022,2489010.8,1119458.29,6.000251526429036,46.2173984884095
33156,48297,221218005,20221218,Accident par tamponnement,Collision avec un véhicule en marche,Etat de la personne - Influence de l'alcool,Meyrin,Nuit,Temps couvert,Avec blessés légers,2494864.368,1119814.363,Route sèche,Route principale,0.0,Dimanche,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2494864.37,1119814.36,6.076016518170523,46.2215422511396
33157,48298,220530298,20220530,Dérapage ou perte de maîtrise,Sans collision,Inattention et distraction - Manque d'attention momentané,Genève,Jour,Beau temps,Avec blessés légers,2499781.386,1116668.864,Route sèche,Route principale,160000.0,Lundi,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2499781.39,1116668.86,6.140408023995761,46.194001752168525
33158,48299,221115317,20221115,Accident en s'engageant sur une route,Collision en s'engageant depuis le bord de la route,Priorité - Autres attitude fautive en lien avec la priorité,Genève,Jour,Temps couvert,Avec blessés légers,2500493.499,1116461.446,Route mouillée,Route secondaire,70000.0,Mardi,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,,,2022,2500493.5,1116461.45,6.1496752781391875,46.192241999036085
33159,48300,221024011,20221021,Accident en parquant,Avec violation de l'obligation de déclarer,Cause inconnue - Véhicule stationné (omission de la déclaration obligatoire),Onex,Inconnu,Autre,Avec dommages matériels,2496516.351,1115536.573,Autre,Route principale,140000.0,Vendredi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2496516.35,1115536.57,6.098371488335668,46.18332301364804
33160,48301,221121423,20221121,Accident par tamponnement,Collision avec véhicule à l'arrêt,Inattention et distraction - Manque d'attention momentané,Genève,Aurore / crépuscule,Pluie,Avec blessés légers,2498519.209,1119560.565,Route mouillée,Route secondaire,170000.0,Lundi,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,,,2022,2498519.21,1119560.57,6.123431911206107,46.219821436051724
33161,48302,220525085,20220517,Accident en quittant une route,Collision avec le trafic dans le même sens lors d'un demi-tour,Conduite - Demi-tour imprudent,Chêne-Bougeries,Jour,Beau temps,Avec dommages matériels,2503028.887,1117133.436,Route sèche,Route principale,130000.0,Mardi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,1,1,,,2022,2503028.89,1117133.44,6.182372534678039,46.19865662814104
33162,48303,220522071,20220521,Dérapage ou perte de maîtrise,Sans collision,Etat de la personne - Influence de l'alcool,Laconnex,Jour,Beau temps,Avec blessés graves,2491709.21,1112690.869,Route sèche,Route principale,160000.0,Samedi,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2491709.21,1112690.87,6.036783863148803,46.156971473754595
33163,48304,220720225,20220720,Accident en parquant,Collision avec une portière ouverte,Utilisation du véhicule - Ouverture imprudente de la portière,Genève,Jour,Beau temps,Avec blessés légers,2500485.586,1117789.924,Route sèche,Route secondaire,150000.0,Mercredi,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,,,2022,2500485.59,1117789.92,6.149289643526663,46.20418959184353
33164,48305,220728187,20220726,Accident en parquant,Avec violation de l'obligation de déclarer,Cause inconnue - Véhicule stationné (omission de la déclaration obligatoire),Genève,Jour,Beau temps,Avec dommages matériels,2499261.097,1117267.862,Route sèche,Route secondaire,120000.0,Mardi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2499261.1,1117267.86,6.133540142936351,46.19931161155769
33165,48306,220328055,20220328,Accident par tamponnement,Collision avec véhicule à l'arrêt,Inattention et distraction - Autre influence en rapport avec l'inattention ou la distraction,Plan-les-Ouates,Aurore / crépuscule,Beau temps,Avec dommages matériels,2497125.995,1113350.476,Route sèche,Route principale,50000.0,Lundi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2497126.0,1113350.48,6.106747181833437,46.163754233516265
33166,48307,220612002,20220611,Accident en quittant une route,Collision en obliquant à gauche avec le trafic venant en sens inverse,Priorité - Priorité en obliquant à gauche devant des véhicules venant en sens inverse,Genève,Jour,Beau temps,Avec blessés légers,2499835.58,1117340.987,Route sèche,Route principale,200000.0,Samedi,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,,,2022,2499835.58,1117340.99,6.140965669909375,46.20005520904152
33167,48308,221006096,20220912,Accident par tamponnement,"Collision avec un véhicule en marche, en reculant",Conduite - Marche arrière imprudente,Bardonnex,Jour,Beau temps,Avec dommages matériels,2499439.308,1111433.919,Route sèche,Route principale,180000.0,Lundi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,1,0,,,2022,2499439.31,1111433.92,6.137104022004351,46.14686583705737
33168,48309,221103214,20220923,Accident par tamponnement,Collision avec véhicule à l'arrêt,Inattention et distraction - Manque d'attention momentané,Thônex,Inconnu,Temps couvert,Avec dommages matériels,2504932.492,1116876.312,Route sèche,Route principale,60000.0,Vendredi,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0.0,0.0,0,0,,,2022,2504932.49,1116876.31,6.207082196461165,46.19661577136097
33169,48310,220817176,20220816,Accident en s'engageant sur une route,Collision en obliquant à gauche avec le trafic venant de gauche,Priorité - Non-respect du signal de priorité «Stop»,Meyrin,Jour,Beau temps,Avec blessés graves,2493870.613,1121198.476,Route sèche,Route secondaire,170000.0,Mardi,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,,,2022,2493870.61,1121198.48,6.062824350676758,46.233835133967226
33170,48311,220330222,20220325,Accident lors d'un dépassement ou lors d'un changement de voie de circulation,Collision lors du changement de voie vers la gauche,Conduite - Manque d'égards en changeant de voie,Genève,Jour,Beau temps,Avec dommages matériels,2500025.452,1119578.065,Route sèche,Route principale,110000.0,Vendredi,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,,,2022,2500025.45,1119578.07,6.142945793876626,46.22020460462576
33171,48312,220909047,20220909,Accident par tamponnement,Collision avec véhicule à l'arrêt,Etat de la personne - Influence de l'alcool,Chêne-Bougeries,Jour,Temps couvert,Avec blessés graves,2502561.554,1116551.03,Route humide,Route principale,70000.0,Vendredi,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,,,2022,2502561.55,1116551.03,6.176440679835188,46.19335060876747
33172,48313,220926082,20220926,Accident par tamponnement,Collision avec véhicule à l'arrêt,Conduite - Suivre de trop près le véhicule qui précède,Genève,Jour,Beau temps,Avec dommages matériels,2500265.178,1118180.931,Route sèche,Route principale,70000.0,Lundi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2500265.18,1118180.93,6.146350862220464,46.20767381746718
33173,47776,220410019,20220409,Accident lors d'un dépassement ou lors d'un changement de voie de circulation,Collision lors du changement de voie vers la droite,Conduite - Manque d'égards en changeant de voie,Bellevue,Jour,Beau temps,Avec dommages matériels,2499373.917,1123868.242,Route sèche,Autoroute,130000.0,Samedi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2499373.92,1123868.24,6.133577185271423,46.25869472617085
33174,47777,220616179,20220523,Accident en parquant,Avec violation de l'obligation de déclarer,Cause inconnue - Véhicule stationné (omission de la déclaration obligatoire),Lancy,Jour,Beau temps,Avec dommages matériels,2498289.164,1115029.247,Route sèche,Route secondaire,80000.0,Lundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2498289.16,1115029.25,6.1214382586395555,46.17903048695201
33175,47778,220115021,20220114,Accident en s'engageant sur une route,Collision en obliquant à droite avec le trafic venant de gauche,Inattention et distraction - Manque d'attention momentané,Chêne-Bougeries,Jour,Temps couvert,Avec blessés légers,2502234.755,1115652.331,Route sèche,Route principale,170000.0,Vendredi,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,,,2022,2502234.75,1115652.33,6.17239623706305,46.18521988411006
33176,47779,220610002,20220610,Dérapage ou perte de maîtrise,Collision avec un obstacle hors de la chaussée,Etat de la personne - Influence de l'alcool,Genève,Nuit,Beau temps,Avec dommages matériels,2500266.191,1118520.766,Route sèche,Route secondaire,0.0,Vendredi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,,,2022,2500266.19,1118520.77,6.146291314357839,46.21073061699925
33177,47780,220719206,20220719,Accident en parquant,Collision avec une portière ouverte,Utilisation du véhicule - Ouverture imprudente de la portière,Genève,Jour,Beau temps,Avec blessés légers,2500036.158,1116619.996,Route sèche,Route principale,100000.0,Mardi,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,,,2022,2500036.16,1116620.0,6.143718191445732,46.193600215323826
33178,47781,221019109,20221019,Accident en parquant,Avec violation de l'obligation de déclarer,Cause inconnue - Véhicule stationné (omission de la déclaration obligatoire),Vernier,Inconnu,Autre,Avec dommages matériels,2496112.203,1119215.99,Autre,Route principale,80000.0,Mercredi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2496112.2,1119215.99,6.092319306918606,46.21635440533747
33179,47782,220502219,20220502,Dérapage ou perte de maîtrise,Collision avec un obstacle sur la chaussée,Vitesse - Inadaptée aux conditions du trafic,Genève,Jour,Beau temps,Avec blessés légers,2500605.532,1117757.25,Route sèche,Route principale,80000.0,Lundi,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,,,2022,2500605.53,1117757.25,6.150850321755083,46.203913490681586
33180,47783,220518003,20220517,Accident en quittant une route,"Collision en obliquant à droite avec les usagers d'une voie séparée, d'une piste séparée, d'une piste cyclable/voie piétonne séparée, des rails de tramway",Priorité - Autres attitude fautive en lien avec la priorité,Thônex,Jour,Beau temps,Avec blessés légers,2505293.187,1117057.146,Route sèche,Route principale,180000.0,Mardi,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,,,2022,2505293.19,1117057.15,6.21171747856059,46.198293245981255
33181,47784,220116017,20220116,Dérapage ou perte de maîtrise,Collision avec un obstacle hors de la chaussée,Etat de la personne - Influence de l'alcool,Genève,Nuit,Beau temps,Avec dommages matériels,2500243.443,1118476.78,Route sèche,Route secondaire,60000.0,Dimanche,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,,,2022,2500243.44,1118476.78,6.146005976677074,46.21033157813312
33182,47785,220613006,20220613,Dérapage ou perte de maîtrise,Collision avec un obstacle hors de la chaussée,Etat de la personne - Influence de l'alcool,Genève,Nuit,Beau temps,Avec dommages matériels,2500238.808,1118338.012,Route sèche,Route principale,10000.0,Lundi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,,,2022,2500238.81,1118338.01,6.1459756595833115,46.20908274106973
33183,47786,220624060,20220624,Accident en s'engageant sur une route,Collision en obliquant à droite avec le trafic venant de gauche,Priorité - Non-respect du signal de priorité «Stop»,Carouge (GE),Jour,Temps couvert,Avec blessés légers,2499367.017,1115234.594,Route sèche,Route principale,60000.0,Vendredi,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2499367.02,1115234.59,6.135350290537921,46.18103953513523
33184,47787,220628227,20220621,Accident en parquant,Collision avec un obstacle fixe (y compris véhicule correctement stationné),Conduite - Marche arrière imprudente,Lancy,Jour,Beau temps,Avec dommages matériels,2498474.702,1115197.288,Route sèche,Route secondaire,140000.0,Mardi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,,,2022,2498474.7,1115197.29,6.123804128174613,46.180569927849334
33185,47788,230103065,20221130,Accident en parquant,Avec violation de l'obligation de déclarer,Cause inconnue - Véhicule stationné (omission de la déclaration obligatoire),Genève,Inconnu,Autre,Avec dommages matériels,2500708.548,1117721.486,Autre,Route principale,140000.0,Mercredi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2500708.55,1117721.49,6.152192459424553,46.20360707628501
33186,47789,221001028,20220906,Accident lors d'un dépassement ou lors d'un changement de voie de circulation,Collision lors du changement de voie vers la gauche,Conduite - Manque d'égards en changeant de voie,Genève,Jour,Pluie,Avec dommages matériels,2499827.891,1117506.149,Route mouillée,Route principale,90000.0,Mardi,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0.0,0.0,0,0,,,2022,2499827.89,1117506.15,6.140830617280262,46.20153957249971
33187,47790,221019292,20221019,Dérapage ou perte de maîtrise,Sans collision,Inattention et distraction - Manque d'attention momentané,Russin,Jour,Beau temps,Avec blessés légers,2490844.024,1116714.71,Route sèche,Route principale,170000.0,Mercredi,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,,,2022,2490844.02,1116714.71,6.024646078550143,46.19302258714339
33188,47791,221222195,20221222,Dérapage ou perte de maîtrise,Collision avec un autre usager de la route,Inattention et distraction - Manque d'attention momentané,Versoix,Jour,Temps couvert,Avec blessés légers,2502113.145,1125644.258,Route humide,Route secondaire,130000.0,Jeudi,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,1,0,,,2022,2502113.14,1125644.26,6.168723808013911,46.275073903967545
33189,47792,221109201,20221109,Accident en traversant une route,Collision avec le trafic traversant depuis la gauche,Priorité - Non-respect du signal de priorité «Stop»,Genève,Jour,Pluie,Avec dommages matériels,2500690.504,1117196.986,Route mouillée,Route principale,100000.0,Mercredi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2500690.5,1117196.99,6.152070229356633,46.19888685453119
33190,47793,220919257,20220919,Dérapage ou perte de maîtrise,Sans collision,Comportement du piéton / du conducteur d'EAV - Autre attitude fautive du piéton ou du conducteur d'EAV,Genève,Jour,Beau temps,Avec blessés légers,2499683.596,1118054.223,Route sèche,Route principale,120000.0,Lundi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2499683.6,1118054.22,6.138843760821055,46.20644759638658
33191,48045,221208235,20221208,Accident par tamponnement,Collision avec un véhicule en marche,Inattention et distraction - Manque d'attention momentané,Versoix,Aurore / crépuscule,Temps couvert,Avec dommages matériels,2500365.641,1128242.189,Route sèche,Autoroute,170000.0,Jeudi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2500365.64,1128242.19,6.145500677921387,46.29818365724622
33192,48046,220317239,20220317,Accident par tamponnement,Collision avec un véhicule en marche,Etat de la personne - Influence de l'alcool,Genève,Jour,Beau temps,Avec dommages matériels,2500762.004,1117286.986,Route sèche,Route principale,170000.0,Jeudi,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,,,2022,2500762.0,1117286.99,6.1529772285511655,46.19970690770344
33193,48047,220329260,20220329,Accident en s'engageant sur une route,Collision en obliquant à droite avec le trafic venant de gauche,Priorité - Non-respect du signal de priorité «Stop»,Veyrier,Jour,Temps couvert,Avec blessés légers,2502526.508,1113262.976,Route sèche,Route principale,130000.0,Mardi,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,,,2022,2502526.51,1113262.98,6.176672911684546,46.1637714281532
33194,48048,220402069,20220323,Accident par tamponnement,Collision avec un véhicule en marche,Conduite - Suivre de trop près le véhicule qui précède,Genève,Jour,Beau temps,Avec dommages matériels,2500834.33,1117012.588,Route sèche,Route principale,160000.0,Mercredi,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0,0,,,2022,2500834.33,1117012.59,6.153972415301578,46.19724952094405
33195,48049,220328181,20220312,Accident en parquant,Avec violation de l'obligation de déclarer,Cause inconnue - Véhicule stationné (omission de la déclaration obligatoire),Lancy,Inconnu,Autre,Avec dommages matériels,2498276.262,1116201.484,Autre,Autre,190000.0,Samedi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,2022,2498276.26,1116201.48,6.121015930655581,46.18957194717822
33196,48050,221114250,20221110,Accident lors d'un dépassement ou lors d'un changement de voie de circulation,Collision lors du changement de voie vers la droite,Conduite - Manque d'égards en changeant de voie,Lancy,Jour,Beau temps,Avec blessés légers,2498473.998,1114255.979,Route sèche,Route principale,150000.0,Jeudi,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,1,0,,,2022,2498474.0,1114255.98,6.123999612643014,46.172103378023785
33197,48051,221202008,20221125,Accident en traversant une route,Collision avec le trafic traversant depuis la gauche,Cause inconnue - Cause inconnue,Onex,Nuit,Beau temps,Avec blessés graves,2496965.581,1115733.258,Route sèche,Route principale,200000.0,Vendredi,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,,,2022,2496965.58,1115733.26,6.1041452064515065,46.185161078939906
33198,48052,220216128,20220211,Accident en parquant,Collision avec un obstacle fixe (y compris véhicule correctement stationné),"Utilisation du véhicule - Manouvres incorrectes dans le véhicule (confusion frein - accélérateur, glisser de la pédale de frein dans les véhicules à transmission automatique, etc.)",Genève,Jour,Beau temps,Avec dommages matériels,2498949.845,1117893.76,Route sèche,Route principale,160000.0,Vendredi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1,0,,,2022,2498949.84,1117893.76,6.129372913611222,46.20489445761874
33199,48053,220315001,20220314,Accident en s'engageant sur une route,Collision en obliquant à gauche avec le trafic venant de gauche,Priorité - Non-respect du signal de priorité «Cédez le passage»,Satigny,Nuit,Beau temps,Avec blessés graves,2494270.924,1119294.258,Route sèche,Route principale,60000.0,Lundi,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,,,2022,2494270.92,1119294.26,6.068444439654109,46.216771245856
